time,no,name,lon,lat,humidity,visibility
20181124120000,59097,新丰观测站,114.20,24.05,85,12.2
20181124120000,57989,仁化观测站,113.73,25.10,96,4.8
20181124120000,59090,始兴观测站,114.06,24.95,83,14.6
20181124120000,59082,曲江观测站,113.60,24.67,92,6.4
20181124120000,57988,乐昌观测站,113.35,25.15,76,13.7
20181124120000,57996,南雄观测站,114.31,25.13,85,8.3
20181124120000,59081,乳源观测站,113.26,24.78,89,7.9
20181124120000,59094,翁源观测站,114.11,24.36,84,14.2
20181124120000,G4405,浈江区十里亭镇十里亭,113.56,24.8292,9999,-
20181124120000,G1401,市气象局,113.5572,24.7975,82,14.245
